743, 141, 22
804, 141, 22
860, 146, 22
921, 144, 22
976, 151, 22
1033, 153, 22
1091, 158, 22
1149, 162, 22
1205, 160, 22
1263, 162, 22
1320, 162, 22
1380, 164, 22
711, 192, 22
771, 193, 22
832, 193, 22
888, 197, 22
946, 200, 22
1005, 199, 22
1063, 207, 22
1123, 204, 22
1175, 213, 22
1233, 213, 22
1292, 211, 22
1347, 213, 22
1404, 213, 22
745, 242, 22
804, 246, 22
862, 244, 22
920, 248, 22
977, 248, 22
1030, 258, 22
1089, 258, 22
1149, 253, 22
1203, 258, 22
1259, 262, 22
1320, 258, 22
1376, 260, 22
711, 293, 22
769, 295, 22
829, 297, 22
886, 300, 22
944, 304, 22
1002, 304, 22
1060, 304, 22
1117, 305, 22
1173, 309, 22
1231, 309, 22
1287, 312, 22
1341, 314, 22
1399, 314, 22
741, 344, 22
801, 346, 21
857, 347, 22
913, 349, 22
972, 351, 22
1086, 354, 22
1030, 353, 22
1145, 351, 22
1200, 358, 22
1256, 360, 22
1313, 360, 22
1371, 361, 22
710, 391, 22
769, 395, 22
825, 398, 22
883, 400, 22
941, 402, 22
998, 403, 22
1058, 403, 22
1116, 402, 22
1172, 407, 22
1228, 409, 22
1284, 410, 22
1341, 410, 22
1394, 412, 21
738, 444, 22
797, 445, 22
855, 447, 22
911, 449, 22
969, 451, 22
1028, 449, 22
1084, 454, 22
1140, 454, 22
1196, 458, 22
1254, 458, 22
1312, 459, 22
1368, 459, 22
706, 491, 22
766, 496, 22
823, 496, 22
881, 498, 22
939, 498, 22
998, 496, 22
1054, 503, 22
1112, 503, 22
1168, 505, 22
1226, 507, 22
1278, 507, 22
1338, 508, 22
1394, 510, 22
736, 545, 22
797, 542, 22
855, 543, 22
909, 549, 22
967, 550, 22
1025, 552, 22
1084, 550, 22
1138, 556, 22
1194, 557, 22
1250, 559, 22
1308, 559, 22
1368, 559, 22
704, 592, 22
762, 594, 22
823, 591, 22
881, 592, 22
939, 594, 22
997, 596, 22
1053, 603, 22
1112, 599, 22
1168, 599, 22
1224, 605, 22
1280, 606, 22
1334, 610, 22
1392, 610, 22
732, 641, 22
794, 645, 22
851, 643, 22
907, 648, 22
963, 648, 22
1021, 650, 22
1079, 652, 22
1137, 654, 22
1193, 654, 22
1250, 657, 22
1306, 657, 22
1364, 659, 22
704, 690, 22
762, 692, 22
822, 690, 22
876, 696, 22
934, 697, 22
991, 699, 22
1051, 703, 22
1107, 703, 22
1163, 704, 22
1221, 706, 22
1278, 708, 22
1333, 708, 22
1390, 710, 22
729, 746, 22
787, 746, 22
850, 743, 22
904, 746, 22
962, 748, 22
1019, 750, 22
1077, 752, 22
1133, 753, 22
1191, 753, 22
1247, 755, 22
1306, 752, 22
1366, 753, 22
701, 794, 22
759, 794, 22
818, 792, 22
876, 794, 22
930, 799, 22
990, 801, 22
1047, 801, 22
1103, 802, 22
1161, 804, 22
1221, 804, 22
1275, 806, 22
1334, 804, 22
1389, 809, 22
729, 843, 22
787, 844, 22
843, 850, 22
904, 844, 22
960, 848, 22
1016, 851, 22
1075, 851, 22
1133, 853, 22
1189, 855, 22
1247, 857, 22
1305, 855, 22
1362, 860, 22
